Date,Time,CategoryA,CategoryB,Borrowing,Directions,Equipment,Referral,Reference,Other,Catalogue
7/1/2017,8am-10am,,,,14,34,,,19,
7/1/2017,10am-12pm,,,30,,28,,,,
7/1/2017,8am-10am,,,,39,,,,,
7/1/2017,12pm-2pm,5,15,,23,,,30,9,15
7/2/2017,12pm-2pm,,,,26,25,,,,
7/1/2017,2pm-4pm,,,2,,,,,,
7/1/2017,2pm-4pm,10,20,,,,,,11,
7/1/2017,4pm-6pm,16,,,,,,,25,
7/1/2017,4pm-6pm,,14,,,,,,4,
7/1/2017,4pm-6pm,,,,,13,36,,,
7/2/2017,6pm-8pm,,,,,,38,,7,
7/1/2017,6pm-8pm,,22,,,,17,,32,
7/1/2017,6pm-8pm,,,,,6,,,,
7/2/2017,8am-10am,33,,,2,14,33,,19,
7/2/2017,8am-10am,5,,,0,,,,1,
7/2/2017,8am-10am,11,,,,11,,,,17
7/2/2017,10am-12pm,,,6,,14,,7,,
7/2/2017,12pm-2pm,,,,,,,,6,19
7/2/2017,12pm-2pm,,,,,,,,12,
7/2/2017,4pm-6pm,,,,17,,,,,
7/2/2017,6pm-8pm,,,32,,,,,34,29
7/2/2017,2pm-4pm,,,23,,,6,,,0
7/2/2017,4pm-6pm,,,7,,,,,28,
7/2/2017,6pm-8pm,,,,,,,,20,
7/2/2017,6pm-8pm,,,,,38,,,1,
7/2/2017,4pm-6pm,,,10,,,,29,29,
7/2/2017,6pm-8pm,,,9,,9,,8,18,
7/3/2017,8am-10am,,,,,,,,,31
7/3/2017,8am-10am,,16,,17,,,,8,
7/3/2017,10am-12pm,,,,,,,,0,
7/3/2017,10am-12pm,,,,,,,,,
7/3/2017,12pm-2pm,,,,,,,,,20
7/2/2017,12pm-2pm,,,,,,,14,,
7/3/2017,2pm-4pm,,,,12,,,14,,
7/3/2017,2pm-4pm,,,,,,,,,37
7/3/2017,2pm-4pm,,,28,23,,,,,
7/3/2017,4pm-6pm,27,,,,,,17,,
7/3/2017,4pm-6pm,,,,,,,,7,
7/3/2017,6pm-8pm,,,,,,,,,
7/3/2017,4pm-6pm,,,,,,,,,
7/3/2017,6pm-8pm,,9,5,,,27,25,31,
7/3/2017,6pm-8pm,,,,22,,,,,
7/4/2017,8am-10am,,,,,,,,,
7/4/2017,8am-10am,,,,,,12,,,
7/4/2017,10am-12pm,15,,,,12,35,,,
7/4/2017,12pm-2pm,,,,,,,,21,18
7/4/2017,12pm-2pm,,22,,,,,,31,
7/4/2017,2pm-4pm,,,,,39,33,10,,
7/4/2017,4pm-6pm,,,,,,,1,14,
7/4/2017,4pm-6pm,,,34,,39,,4,9,
7/4/2017,4pm-6pm,,,,7,,32,,,
7/4/2017,4pm-6pm,,,,,,,,,
7/4/2017,6pm-8pm,,,,,4,18,2,,28
7/4/2017,6pm-8pm,,8,39,26,,,,,
7/4/2017,6pm-8pm,23,,16,,,,,18,
7/5/2017,8am-10am,,,,,,15,2,,
7/5/2017,10am-12pm,,,25,,,,,18,
7/5/2017,12pm-2pm,,,,,,,25,,
7/5/2017,12pm-2pm,,,,,,,,,
7/5/2017,2pm-4pm,,11,,,36,,,38,
7/5/2017,4pm-6pm,,,,33,,38,,,
7/5/2017,4pm-6pm,,,,,9,,,,
7/5/2017,6pm-8pm,,33,4,,,0,,,
7/5/2017,4pm-6pm,2,,,28,,,,,
7/5/2017,6pm-8pm,,,,,,,,,30
7/5/2017,6pm-8pm,,36,,,,,,,38
7/6/2017,8am-10am,,23,,,,,,39,4
7/6/2017,10am-12pm,4,,,,,22,,,
7/6/2017,12pm-2pm,,,,,,5,24,,
7/6/2017,8am-10am,,,,,29,,,,
7/6/2017,2pm-4pm,,,,,,,,,
7/6/2017,4pm-6pm,,,37,37,,,,,
7/2/2017,8am-10am,3,38,27,,,36,,,
7/7/2017,8am-10am,,5,,,,,,,
7/2/2017,10am-12pm,,,,13,,,,,
7/7/2017,10am-12pm,,16,,,,,,,
7/2/2017,10am-12pm,,,,,,,0,,34
7/2/2017,12pm-2pm,22,,,38,3,,,,
7/7/2017,12pm-2pm,,,,,,29,33,,
7/2/2017,12pm-2pm,,,,,,21,22,,
7/7/2017,2pm-4pm,,,31,11,,,,34,35
7/2/2017,2pm-4pm,,,28,,,,,,23
7/2/2017,4pm-6pm,3,,,,,,,,
7/7/2017,4pm-6pm,,11,,,,12,,,
7/8/2017,8am-10am,,,17,19,,25,,,20
7/8/2017,8am-10am,,,,,,0,,29,
7/8/2017,10am-12pm,,23,,13,,,,38,
7/8/2017,10am-12pm,,,,,12,,,1,
7/8/2017,12pm-2pm,,,,24,34,,,34,
7/8/2017,12pm-2pm,5,,,,,35,,,
7/8/2017,2pm-4pm,,10,,,,17,,,
7/8/2017,2pm-4pm,,,,,,,,,
7/8/2017,4pm-6pm,,,21,,,,,,2
7/8/2017,4pm-6pm,,,25,,,14,17,,
7/8/2017,6pm-8pm,,22,,,6,25,,,
7/8/2017,6pm-8pm,,,27,,,,,26,
7/9/2017,8am-10am,,,11,,,,,12,
7/9/2017,8am-10am,,,,,,,,,
7/9/2017,8am-10am,,,,37,14,,,,
7/9/2017,10am-12pm,,,,19,,,29,,
7/9/2017,10am-12pm,,,30,,,,,,
7/9/2017,12pm-2pm,,11,,,2,,,32,24
7/9/2017,12pm-2pm,,,,,,,,,
7/9/2017,2pm-4pm,,4,,,,,26,,
7/9/2017,2pm-4pm,,,,24,,,29,,
7/9/2017,4pm-6pm,,,,,,,1,,
7/9/2017,4pm-6pm,,,,,,,,,
7/9/2017,6pm-8pm,,,,,,,,,
7/9/2017,6pm-8pm,,,,,,26,,,
7/10/2017,8am-10am,21,20,,32,,,,23,
7/10/2017,8am-10am,18,,23,,,,,,
7/10/2017,10am-12pm,,12,,,,,,,
7/10/2017,10am-12pm,,,,,,23,,,
7/10/2017,12pm-2pm,,,,34,,,,9,
7/10/2017,12pm-2pm,,,,,29,,,,
7/10/2017,2pm-4pm,,,,27,,25,,,2
7/10/2017,2pm-4pm,20,,12,39,,25,19,,
7/10/2017,4pm-6pm,,32,,,,,,,
7/11/2017,8am-10am,,,,,,33,,9,
7/11/2017,10am-12pm,33,,,,,,,,22
7/11/2017,8am-10am,,,,1,,,26,,
7/11/2017,10am-12pm,,,,,,,,,
7/11/2017,10am-12pm,,14,,,,,,,
7/11/2017,12pm-2pm,,,,,,,,,
7/11/2017,12pm-2pm,,5,,9,,31,,,
7/11/2017,2pm-4pm,,2,,21,20,,,15,
7/11/2017,2pm-4pm,4,16,,,,,11,,
7/11/2017,4pm-6pm,8,,,,,4,,,
7/11/2017,4pm-6pm,14,31,,,,33,,,
7/11/2017,4pm-6pm,,,35,8,23,,,4,
7/11/2017,6pm-8pm,,,,,,,36,,
7/11/2017,6pm-8pm,,,,,,,,,0
7/15/2017,8am-10am,,,,,,,,,
7/15/2017,8am-10am,16,,,,,,,6,
7/15/2017,10am-12pm,,,,,,14,5,,4
7/15/2017,10am-12pm,20,,,,27,,,,
7/15/2017,12pm-2pm,,,21,,,,7,,
7/15/2017,12pm-2pm,,,,,26,,,,
7/15/2017,2pm-4pm,6,14,,,,14,,14,25
7/15/2017,12pm-2pm,5,,,11,,,,,24
7/15/2017,4pm-6pm,,,32,,,,,,
7/15/2017,4pm-6pm,,,,,30,,,,29
7/16/2017,8am-10am,,,,,38,,,,
7/16/2017,8am-10am,14,,,,18,,,,
7/16/2017,10am-12pm,,,,,,,,,
7/16/2017,10am-12pm,,,,,,,,,
7/16/2017,12pm-2pm,17,,,,,6,,,
7/16/2017,12pm-2pm,,21,,,,,,,
7/16/2017,2pm-4pm,,,30,,,,,18,
7/16/2017,2pm-4pm,,22,,,30,20,,,25
7/16/2017,4pm-6pm,,,,,,,,,
7/16/2017,4pm-6pm,30,,,,4,0,,,
